case_id,benchmark_id,mode,coeff,maxdim,threshold_label,dimension,normalization_mode,library,interval_index,birth,death,birth_hex,death_hex
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,gudhi,20,1.9999999999999998,1.9999999999999998,0x1.fffffffffffffp+0,0x1.fffffffffffffp+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,ripser,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,raw_exact,dionysus,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,drop_zero_length_intervals,gudhi,0,1.0,1.7320508075688772,0x1.0000000000000p+0,0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,drop_zero_length_intervals,ripser,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,drop_zero_length_intervals,dionysus,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,drop_zero_length_intervals_plus_float32_roundtrip,ripser,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,drop_zero_length_intervals_plus_float32_roundtrip,dionysus,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,threshold_truncation_harmonized,gudhi,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,threshold_truncation_harmonized,ripser,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h1__full,honeycomb_patch_2x2__floating,floating,2,1,full,1,threshold_truncation_harmonized,dionysus,0,1.0,1.7320507764816284,0x1.0000000000000p+0,0x1.bb67ae0000000p+0
