case_id,benchmark_id,family,label,mode,coeff,maxdim,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,exact_all_libraries,mismatch_dimensions
tfim_pbc_n4_g0p50__floating__p2__h1__selected,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,1,selected,1.119133843184316,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,False,"0,1"
tfim_pbc_n4_g0p50__floating__p2__h1__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,1,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,False,"0,1"
tfim_pbc_n4_g0p50__floating__p2__h2__selected,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,2,selected,1.119133843184316,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,False,"0,1"
tfim_pbc_n4_g0p50__floating__p2__h2__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,2,2,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,False,"0,1,2"
tfim_pbc_n4_g0p50__floating__p3__h1__selected,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,3,1,selected,1.119133843184316,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,False,"0,1"
tfim_pbc_n4_g0p50__floating__p3__h1__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,3,1,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,False,"0,1"
tfim_pbc_n4_g0p50__floating__p3__h2__selected,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,3,2,selected,1.119133843184316,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,False,"0,1"
tfim_pbc_n4_g0p50__floating__p3__h2__full,tfim_pbc_n4_g0p50__floating,A,"TFIM PBC N=4, g=0.50",floating,3,2,full,1.1405648750053994,4,3512251ede57c0736500b2c075279f1e3be4adafd406694b1f21bd0967660530,,False,"0,1,2"
tfim_pbc_n4_g0p50__quantized__p2__h1__selected,tfim_pbc_n4_g0p50__quantized,A,"TFIM PBC N=4, g=0.50",quantized,2,1,selected,1.119140625,4,499f4a50645bb879c7d11bef88e7c03c1206d892b87b035c08f9450c923610e2,,True,
tfim_pbc_n4_g0p50__quantized__p2__h1__full,tfim_pbc_n4_g0p50__quantized,A,"TFIM PBC N=4, g=0.50",quantized,2,1,full,1.140625,4,499f4a50645bb879c7d11bef88e7c03c1206d892b87b035c08f9450c923610e2,,False,1
